rowid,Class,Position,Sail Number,Sailor,Boat Name,Club,Points,R1,R2,R3,R4,R5,sailor_count
1,420 Green,1,USA 1247,Max Westhoven,NA,Pleon,24,2,5,6,5,6,1
2,420 Green,1,USA 1247,Ryan Begin,NA,Pleon,24,2,5,6,5,6,2
3,420 Green,2,USA 8767,Charlie Wilkinson,NA,MSA,25,11,4,8,1,1,1
4,420 Green,2,USA 8767,Sam Porter,NA,MSA,25,11,4,8,1,1,2
5,420 Green,3,USA 8244,Fish Winslow,NA,Hingham Yacht Club,25,6,6,2,8,3,1
6,420 Green,3,USA 8244,Catherine Dickson,NA,Hingham Yacht Club,25,6,6,2,8,3,2
7,420 Green,4,USA 8240,Will Denker,NA,Hingham Yacht Club,26,3,1,4,2,16,1
8,420 Green,4,USA 8240,Wilson Fox,NA,Hingham Yacht Club,26,3,1,4,2,16,2
9,420 Green,5,USA 8243,William Sichol,NA,Hingham Yacht Club,31,4,7,7,3,10,1
10,420 Green,5,USA 8243,Charlie Matthews,NA,Hingham Yacht Club,31,4,7,7,3,10,2
11,420 Green,6,USA 8238,Griffin Beaulieu,NA,Hingham Yacht Club,32,5,9,3,10,5,1
12,420 Green,6,USA 8238,Sam Schuhwerk,NA,Hingham Yacht Club,32,5,9,3,10,5,2
13,420 Green,7,USA 1729,Ben Prew,NA,Cottage Park Yacht Club,39,8,10,5,9,7,1
14,420 Green,7,USA 1729,Jake Cataldo,NA,Cottage Park Yacht Club,39,8,10,5,9,7,2
15,420 Green,8,USA 7126,Eloise Goedkoop,NA,Pleon,44,9,2,10,12,11,1
16,420 Green,8,USA 7126,Sophia Ianchulev,NA,Pleon,44,9,2,10,12,11,2
17,420 Green,9,USA 6370,Sean McCaffrey,NA,Sandy Bay YC,47,1,3,1,6,DSQ-36,1
18,420 Green,9,USA 6370,Nils Triplett,NA,Sandy Bay YC,47,1,3,1,6,DSQ-36,2
19,420 Green,10,USA 6621,Aidan Eager,NA,Pleon,53,10,12,9,4,18,1
20,420 Green,10,USA 6621,Clive Connolly,NA,Pleon,53,10,12,9,4,18,2
21,420 Green,11,USA 12,Anne C. Krieger,NA,Cohasset Yacht Club,56,14,14,12,14,2,1
22,420 Green,11,USA 12,Isabella Richter,NA,Cohasset Yacht Club,56,14,14,12,14,2,2
23,420 Green,12,USA 6,Patrick Smith,NA,Sail Salem,56,7,13,17,11,8,1
24,420 Green,12,USA 6,Victoria Thompson,NA,Sail Salem,56,7,13,17,11,8,2
25,420 Green,13,USA 8768,Ava Rizzico,NA,MSA,64,12,21,15,7,9,1
26,420 Green,13,USA 8768,Mark Matook,NA,MSA,64,12,21,15,7,9,2
