club_raw,club_norm
Pleon,Pleon
SBYC,Sandy Bay Yacht Club
Nahant Sailing Program,Nahant Sailing Program
Manchester Sailing Association,Manchester Sailing Association
Ipswich Junior Sailing,Ipswich Junior Sailing
Sail Salem,Sail Salem
Mendums Seacoast Sailing,Mendum Seacoast Sailing
Cohasset Yacht Club,Cohasset Yacht Club
Pleon YC,Pleon
Portland Yacht Club,Portland Yacht Club
MSA,Manchester Sailing Association
Agamenticus Yacht Club,Agamenticus Yacht Club
Cottage Park Yacht Club,Cottage Park Yacht Club
Sandy Bay Yacht Club,Sandy Bay Yacht Club
Pleon Yacht Club,Pleon
CYC,Corinthian Yacht Club
Hingham Yacht Club,Hingham Yacht Club
Ipswich Junior Sail,Ipswich Junior Sailing
BCRP,Brenton Cove Racing Program
Sail Maine,Sail Maine
EYC,Eastern Yacht Club
SailMaine,Sail Maine
Northern Lake George Yacht Club,Northern Lake George Yacht Club
Annisquam Yacht Club,Annisquam Yacht Club
Mendums Seacoast Sailing Team,Mendum Seacoast Sailing
Harraseeket Yacht Club,Harraseeket Yacht Club
Mendum Seacoast Sailing,Mendum Seacoast Sailing
Buck's Harbor Yacht Club,Buck's Harbor Yacht Club
Portland Yacht CLub,Portland Yacht Club
Cottage park yacht club,Cottage Park Yacht Club
Castine yacht club,Castine Yacht Club
Sail Newport,Sail Newport
Corinthian Yacht Club,Corinthian Yacht Club
Annisquam,Annisquam Yacht Club
PLEON,Pleon
PLEON YC,Pleon
Eastern Yacht Club,Eastern Yacht Club
MBC,Medford Boat Club
Medford Boat Club,Medford Boat Club
Sandy Bay YC,Sandy Bay Yacht Club
Corinthian,Corinthian Yacht Club
Corinthians,Corinthian Yacht Club
Nahant sailing program,Nahant Sailing Program
AYC,Annisquam Yacht Club
Ipswich Bay Yacht Club,Ipswich Junior Sailing
