Class,Position,Sail Number,Sailor(s),Boat Name/Club,Points,R1,R2,R3,R4,R5
420 Green,1,,Max Westhoven,Pleon,24,2,5,6,5,6
420 Green,,USA 1247,Ryan Begin,,,,,,,
420 Green,2,,Charlie Wilkinson,MSA,25,11,4,8,1,1
420 Green,,USA 8767,Sam Porter,,,,,,,
420 Green,3,,Fish Winslow,Hingham Yacht Club,25,6,6,2,8,3
420 Green,,USA 8244,Catherine Dickson,,,,,,,
420 Green,4,,Will Denker,Hingham Yacht Club,26,3,1,4,2,16
420 Green,,USA 8240,Wilson Fox,,,,,,,
420 Green,5,,William Sichol,Hingham Yacht Club,31,4,7,7,3,10
420 Green,,USA 8243,Charlie Matthews,,,,,,,
420 Green,6,,Griffin Beaulieu,Hingham Yacht Club,32,5,9,3,10,5
420 Green,,USA 8238,Sam Schuhwerk,,,,,,,
420 Green,7,,Ben Prew,Cottage Park Yacht Club,39,8,10,5,9,7
420 Green,,USA 1729,Jake Cataldo,,,,,,,
420 Green,8,,Eloise Goedkoop,Pleon,44,9,2,10,12,11
420 Green,,USA 7126,Sophia Ianchulev,,,,,,,
420 Green,9,,Sean McCaffrey,Sandy Bay YC,47,1,3,1,6,DSQ-36
420 Green,,USA 6370,Nils Triplett,,,,,,,
420 Green,10,,Aidan Eager,Pleon,53,10,12,9,4,18
420 Green,,USA 6621,Clive Connolly,,,,,,,
420 Green,11,,Anne C. Krieger,Cohasset Yacht Club,56,14,14,12,14,2
420 Green,,USA 12,Isabella Richter,,,,,,,
420 Green,12,,Patrick Smith,Sail Salem,56,7,13,17,11,8
420 Green,,USA 6,Victoria Thompson,,,,,,,
420 Green,13,,Ava Rizzico,MSA,64,12,21,15,7,9
420 Green,,USA 8768,Mark Matook,,,,,,,
420 Green,14,,Noah Cafferky,MBC,75,13,18,14,15,15
420 Green,,USA 1738,Nektar Eforo,,,,,,,
420 Green,15,,Anna Arbo,Sail Salem,83,19,17,16,19,12
420 Green,,USA 5,Riley Linden,,,,,,,
420 Green,16,,Catherine Peterman,Sandy Bay Yacht Club,86,17,11,13,26,19
420 Green,,USA 6117,Katherine Rosa,,,,,,,
420 Green,17,,Luc Francis,SailMaine,87,24,8,25,13,17
420 Green,,USA 839,Jack McCormick,,,,,,,
420 Green,18,,Natalie Ho,SBYC,98,23,19,11,24,21
420 Green,,USA 6373,Griffin Davis,,,,,,,
420 Green,19,,Oliver Murrell,SailMaine,102,OCS-36,24,21,17,4
420 Green,,USA 6458,Landen Springer,,,,,,,
420 Green,20,,Aidan Woods,SBYC,107,27,28,23,16,13
420 Green,,USA 6371,Zachary Vianna,SBYC,,,,,,
420 Green,21,,Owen Manning,Medford Boat Club,110,20,23,20,25,22
420 Green,,USA 1142,Owen Kelly,,,,,,,
420 Green,22,,John Betz,Ipswich Junior Sailing,112,18,25,28,18,23
420 Green,,USA 9664,Alexander Cotter,,,,,,,
420 Green,23,,Nikolas Turpin,Sail Salem,113,30,27,22,20,14
420 Green,,USA 10,Ronan Eaton,,,,,,,
420 Green,24,,Chase Hansen,420,115,21,16,19,23,TLE-36
420 Green,,USA 1115,Patrick Keane,Cohasset Yacht Club,,,,,,
420 Green,25,,Janie Tompkins,Mona,124,22,15,24,27,RET-36
420 Green,,USA 1249,Maya Tavares,Pleon,,,,,,
420 Green,26,,Andrew D. Masher,Ipswich Junior Sailing,131,16,22,26,31,TLE-36
420 Green,,USA 16,Charlie Carner,,,,,,,
420 Green,27,,Will Moroney,Joelle Moroney,140,28,DNS-36,18,22,TLE-36
420 Green,,USA 101,Jack Pearlson,Ipswich Bay Yacht Club,,,,,,
420 Green,28,,Cosimo Bardini,Sail Salem,141,32,29,31,29,20
420 Green,,USA 3,Braiden Kilroy,,,,,,,
420 Green,29,,Anthony Stephens,Ipswich Junior Sailing,143,15,20,DNF-36,RET-36,TLE-36
420 Green,,USA 108,Gian Perullo,,,,,,,
420 Green,30,,William Hodges,Nahant Sailing Program,145,25,26,30,28,RET-36
420 Green,,USA 3356,Michael O'Brien,,,,,,,
420 Green,31,,Aidan Wyse,Nahant Sailing Program,152,29,30,27,30,TLE-36
420 Green,,USA 3444,Peter Glavas,,,,,,,
420 Green,32,,Piper Englin,SBYC,163,31,31,29,RET-36,DNS-36
420 Green,,USA 6367,Charlotte Epstein,,,,,,,
420 Green,33,,Torin Anderson,Holy Sheet,166,26,32,DNC-36,DNC-36,TLE-36
420 Green,,USA 3354,Greg Keane,Nahant sailing program,,,,,,
420 Green,34,,Oliver Murrell,Sail Maine,180,DNC-36,DNC-36,DNC-36,DNC-36,DNC-36
420 Green,,USA 12,,,,,,,,
420 Green,35,,Charlie Carner,Ipswich Junior Sail,180,DNC-36,DNC-36,DNC-36,DNC-36,DNC-36
420 Green,,USA 000,,,,,,,,
