Class,Position,Sail Number,Sailor(s),Division,Boat Name/Club,Points,R1,R2,R3,R4,R5,R6,R7,R8
Opti Champ,1,,Maximilian Seuss,Blue,PLEON YC,9,2,-3,1,1,2,1,1,1
Opti Champ,,USA 21308,,,,,,,,,,,,
Opti Champ,2,,Hadley Reed,White,Hingham Yacht Club,24,5,-9,2,3,4,2,6,2
Opti Champ,,USA 19464,,,,,,,,,,,,
Opti Champ,3,,Wyatt Wilkinson,Blue,Sandy Bay Yacht Club,31,1,-13,8,7,5,4,3,3
Opti Champ,,USA 13589,,,,,,,,,,,,
Opti Champ,4,,William Gear,Red,Agamenticus Yacht Club,37,-29,1,3,4,3,7,5,14
Opti Champ,,USA 20551,,,,,,,,,,,,
Opti Champ,5,,Sam Robison,Red,Gust,45,7,-12,6,10,8,3,2,9
Opti Champ,,USA 13321,,,Pleon,,,,,,,,,
Opti Champ,6,,Max Dressel,Blue,Pleon YC,58,10,6,4,8,-25,10,4,16
Opti Champ,,USA 18875,,,,,,,,,,,,
Opti Champ,7,,Ian Smith,Blue,Knot Wet,65,15,5,9,16,1,-17,14,5
Opti Champ,,USA 10287,,,Hingham Yacht Club,,,,,,,,,
Opti Champ,8,,Connor Lund,Blue,Portland Yacht Club,72,-24,16,13,14,9,5,8,7
Opti Champ,,USA 21923,,,,,,,,,,,,
Opti Champ,9,,Libby Rogers,Blue,Liberator,72,6,8,11,6,-19,11,17,13
Opti Champ,,USA 19777,,,Hingham Yacht Club,,,,,,,,,
Opti Champ,10,,Patrick Wahlig,Red,Portland Yacht Club,76,8,4,21,5,-29,16,12,10
Opti Champ,,USA 20853,,,,,,,,,,,,
Opti Champ,11,,Kent Yaoita,Blue,Pleon,86,16,-20,7,9,17,6,16,15
Opti Champ,,USA 14234,,,,,,,,,,,,
Opti Champ,12,,Will Matthews,Blue,Hingham Yacht Club,87,19,17,-20,11,18,9,7,6
Opti Champ,,USA 11098,,,,,,,,,,,,
Opti Champ,13,,Summer McSweeney,Red,Peanut,87,11,18,10,-25,10,15,11,12
Opti Champ,,USA 22657,,,Agamenticus Yacht Club,,,,,,,,,
Opti Champ,14,,Thomas Svencer,Blue,Downdraft,90,3,-25,15,20,6,18,20,8
Opti Champ,,USA 6771,,,Pleon Yacht Club,,,,,,,,,
Opti Champ,15,,Beatrice May,Blue,Agamenticus Yacht Club,90,13,11,12,22,11,12,9,-24
Opti Champ,,USA 99,,,,,,,,,,,,
Opti Champ,16,,Aurora Raber,Blue,LoadLine,96,22,7,(OCS-35),13,14,19,10,11
Opti Champ,,USA 16903,,,Portland Yacht Club,,,,,,,,,
Opti Champ,17,,Gavin Hudson,Red,Pleon,118,4,2,5,2,(DNS-35),DNS-35,DNS-35,DNS-35
Opti Champ,,USA 22486,,,,,,,,,,,,
Opti Champ,18,,Sara Tennent,Blue,Turtle,119,14,10,16,12,23,26,-30,18
Opti Champ,,USA 20849,,,Portland Yacht Club,,,,,,,,,
Opti Champ,19,,Victoria Wahlig,Blue,Nemo,126,18,28,-29,15,13,14,15,23
Opti Champ,,USA 12545,,,Portland Yacht Club,,,,,,,,,
Opti Champ,20,,Billy Cashel,Blue,Rocky Road,130,26,14,17,17,12,24,-27,20
Opti Champ,,USA 20167,,,Pleon Yacht Club,,,,,,,,,
Opti Champ,21,,Thatcher Schrafft,Blue,Sandy Bay Yacht Club,137,31,23,14,21,-32,8,21,19
Opti Champ,,USA 8,,,,,,,,,,,,
Opti Champ,22,,Aeva Salem,Blue,Tom Cat,140,17,22,-28,24,16,22,22,17
Opti Champ,,USA 19875,,,Pleon,,,,,,,,,
Opti Champ,23,,Oliver May,White,Toast,149,9,21,27,-31,22,28,13,29
Opti Champ,,USA 111,,,Agamenticus Yacht Club,,,,,,,,,
Opti Champ,24,,Avery Cooper,Blue,MSA,151,12,27,24,23,26,21,18,-32
Opti Champ,,USA 21603,,,,,,,,,,,,
Opti Champ,25,,Josie O'Rourke,Red,Agamenticus Yacht Club,151,20,-30,18,27,15,27,23,21
Opti Champ,,USA 21804,,,,,,,,,,,,
Opti Champ,26,,Ian Carlin,Red,Manchester Sailing Association,154,25,26,23,-28,27,25,24,4
Opti Champ,,USA 13129,,,,,,,,,,,,
Opti Champ,27,,Justin Kaminsky,Blue,Pleon,160,21,15,22,(RET-35),20,32,28,22
Opti Champ,,USA 10912,,,,,,,,,,,,
Opti Champ,28,,Marlew Herlihy,White,Sandy Bay Yacht Club,170,30,-33,31,18,24,13,29,25
Opti Champ,,USA 1,,,,,,,,,,,,
Opti Champ,29,,Sander ianchulev,Blue,Orca,176,32,24,-33,19,30,20,25,26
Opti Champ,,USA 16544,,,Pleon YC,,,,,,,,,
Opti Champ,30,,Courtney Hoguet,Blue,Pleon Yacht Club,180,23,-34,30,30,28,23,19,27
Opti Champ,,USA 18650,,,,,,,,,,,,
Opti Champ,31,,Ava Laham,Blue,Pleon,183,-34,29,32,29,7,29,26,31
Opti Champ,,USA 9208,,,,,,,,,,,,
Opti Champ,32,,Harrison Mechem,Red,Annisquam Yacht Club,186,-33,19,26,26,21,31,33,30
Opti Champ,,USA 13271,,,,,,,,,,,,
Opti Champ,33,,Teak Winslow,Blue,Trex,200,28,32,19,(DNS-35),31,30,32,28
Opti Champ,,USA 19758,,,Hingham Yacht Club,,,,,,,,,
Opti Champ,34,,Sebastian Francis,Blue,SailMaine,214,27,31,25,32,(DNF-35),33,31,DNF-35
Opti Champ,,USA 731,,,,,,,,,,,,
